TANUJA_KANWAR,ODI,Batting First,2025–2025,1,2,Feb-31,15.5,0,0,0,,,,,,,,,
TANUJA_KANWAR,ODI,Fielding First,2024–2024,1,0,-,-,0,0,0,,,,,,,,,
playerId,format,condition,span,Mat,Wkts,BBI,Bowl Avg,5w,Ct,St,,,,,,,,,
TANUJA_KANWAR,T20,Batting First,2024–2024,3,1,Jan-14,60,0,1,0,,,,,,,,,
TANUJA_KANWAR,T20,Fielding First,2024–2024,1,0,-,-,0,1,0,,,,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
TITAS_SADHU,ODI,Batting First,2024–2025,5,6,4,3,0,5,Feb-42,32.6,0,1,0,-29.6,,,,
TITAS_SADHU,ODI,Fielding First,2024–2025,3,3,3,3,0,1,Jan-48,141,0,0,0,-138,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
TITAS_SADHU,T20,Batting First,2023–2024,9,3,2,3,0,8,03-Jun,25.5,0,2,0,-22.5,,,,
TITAS_SADHU,T20,Fielding First,2023–2024,3,-,-,-,-,5,Apr-17,8.6,0,1,0,-,,,,
playerId,format,condition,span,Mat,Ct,St,,,,,,,,,,,,,
UMA_CHETRY,ODI,Fielding First,2025–2025,1,0,0,,,,,,,,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Ct,St,,,,,,,,,
UMA_CHETRY,T20,Batting First,2024–2024,4,37,24,9.25,0,1,0,,,,,,,,,
UMA_CHETRY,T20,Fielding First,2024–2024,3,-,-,-,-,2,1,,,,,,,,,
playerId,format,condition,span,Mat,Runs,HS,100s,Wkts,BBI,5w,Ct,St,,,,,,,
VAISHNAVI_SHARMA,ODI,Batting First,2026–2026,1,10,10*,0,0,-,0,0,0,,,,,,,
playerId,format,condition,span,Mat,Wkts,BBI,Bowl Avg,5w,Ct,St,,,,,,,,,
VAISHNAVI_SHARMA,T20,Batting First,2025–2025,2,3,Feb-24,19,0,0,0,,,,,,,,,
VAISHNAVI_SHARMA,T20,Fielding First,2025–2025,3,2,Feb-32,31,0,0,0,,,,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
SHAFALI_VERMA,TEST,Batting First,2021–2026,4,404,205,57.71,1,2,01-Jul,9.5,0,2,0,48.21,,,,
SHAFALI_VERMA,TEST,Fielding First,2021–2023,2,203,96,50.75,0,-,-,-,-,1,0,-,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
SHAFALI_VERMA,ODI,Batting First,2021–2026,19,480,87,25.26,0,3,Feb-36,34,0,3,0,-8.73,,,,
SHAFALI_VERMA,ODI,Fielding First,2021–2025,13,265,71*,22.08,0,0,-,-,0,4,0,-,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Wkts,BBI,Bowl Avg,5w,Ct,St,Avg Diff,,,,
SHAFALI_VERMA,T20,Batting First,2019–2026,49,1306,81,26.65,0,7,Mar-15,14,0,13,0,12.65,,,,
SHAFALI_VERMA,T20,Fielding First,2019–2026,49,1213,79*,28.88,0,3,01-Aug,34,0,17,0,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Ct,St,,,,,,,,,
RICHA_GHOSH,TEST,Batting First,2024–2026,2,97,86,32.33,0,1,0,,,,,,,,,
RICHA_GHOSH,TEST,Fielding First,2023–2023,1,65,52,32.5,0,0,0,,,,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Ct,St,,,,,,,,,
RICHA_GHOSH,ODI,Batting First,2021–2026,34,845,94,30.17,0,22,4,,,,,,,,,
RICHA_GHOSH,ODI,Fielding First,2021–2026,20,363,96,25.92,0,14,5,,,,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Ct,St,,,,,,,,,
RICHA_GHOSH,T20,Batting First,2020–2026,38,763,64*,27.25,0,17,14,,,,,,,,,
RICHA_GHOSH,T20,Fielding First,2020–2026,37,387,47*,27.64,0,20,17,,,,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Ct,St,,,,,,,,,
YASTIKA_BHATIA,TEST,Batting First,2021–2023,2,97,66,24.25,0,1,0,,,,,,,,,
YASTIKA_BHATIA,TEST,Fielding First,2023–2023,1,1,1,1,0,4,0,,,,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Ct,St,,,,,,,,,
YASTIKA_BHATIA,ODI,Batting First,2021–2024,15,395,59,26.33,0,7,8,,,,,,,,,
YASTIKA_BHATIA,ODI,Fielding First,2021–2024,13,271,64,22.58,0,7,2,,,,,,,,,
playerId,format,condition,span,Mat,Runs,HS,Bat Avg,100s,Ct,St,,,,,,,,,
YASTIKA_BHATIA,T20,Batting First,2021–2024,11,143,36,17.87,0,2,5,,,,,,,,,
YASTIKA_BHATIA,T20,Fielding First,2022–2023,8,71,26,14.2,0,3,3,,,,,,,,,
